ID,molecule,iso-slug,formula,dataset,Tmax,mass,abundance,Main column,Main format,QN label,QN format
93,TiO,48Ti-16O,(48Ti)(16O),Toto,8000,63.942856,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%99d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
94,TiO,49Ti-16O,(49Ti)(16O),Toto,8000,64.942779,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%100d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
95,TiO,50Ti-16O,(50Ti)(16O),Toto,8000,65.9397,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%101d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
96,VO,51V-16O,(51V)(16O),HyVO,5400,66.938871,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%102d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega,F","%1s,%1s,%12s,%3d,%5d,%5d,%5d,%7d"
97,YO,89Y-16O,(89Y)(16O),BRYTS,5000,104.900756,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%103d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
98,YO,89Y-17O,(89Y)(17O),BRYTS,5000,105.904973,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%104d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
99,YO,89Y-18O,(89Y)(18O),BRYTS,5000,106.905001,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%105d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
100,ZrO,90Zr-16O,(90Zr)(16O),ZorrO,10000,105.899613,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%106d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
101,ZrO,91Zr-16O,(91Zr)(16O),ZorrO,10000,106.900555,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%107d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
102,ZrO,92Zr-16O,(92Zr)(16O),ZorrO,10000,107.89995,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%108d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
103,ZrO,93Zr-16O,(93Zr)(16O),ZorrO,10000,108.901385,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%109d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
104,ZrO,94Zr-16O,(94Zr)(16O),ZorrO,10000,109.901227,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%110d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
105,ZrO,96Zr-16O,(96Zr)(16O),ZorrO,10000,111.903192,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%111d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
