ID,molecule,iso-slug,formula,dataset,Tmax,mass,abundance,Main column,Main format,QN label,QN format
29,CO2,16O-12C-17O,(16O)(12C)(17O),Dozen,5000,44.994046,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%35d","Grve,e/f,v1,v2,l2,v3","%3s,%1s,%2d,%2d,%2d,%2d"
30,CO2,16O-12C-18O,(16O)(12C)(18O),Dozen,5000,45.994074,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%36d","Grve,e/f,v1,v2,l2,v3","%3s,%1s,%2d,%2d,%2d,%2d"
31,CO2,16O-13C-17O,(16O)(13C)(17O),Dozen,5000,45.997401,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%37d","Grve,e/f,v1,v2,l2,v3","%3s,%1s,%2d,%2d,%2d,%2d"
32,CO2,16O-13C-18O,(16O)(13C)(18O),Dozen,5000,46.997429,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%38d","Grve,e/f,v1,v2,l2,v3","%3s,%1s,%2d,%2d,%2d,%2d"
33,CO2,17O-12C-18O,(17O)(12C)(18O),Dozen,5000,46.998291,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%39d","Grve,e/f,v1,v2,l2,v3","%3s,%1s,%2d,%2d,%2d,%2d"
34,CO2,17O-13C-18O,(17O)(13C)(18O),Dozen,5000,48.001646,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%40d","Grve,e/f,v1,v2,l2,v3","%3s,%1s,%2d,%2d,%2d,%2d"
35,CaH,40Ca-1H,(40Ca)(1H),XAB,5000,40.970416,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%41d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
36,CaO,40Ca-16O,(40Ca)(16O),VBATHY,8000,55.957505,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%42d","+/-,e/f,ElecState,v,Lambda,Sigma,Omega","%1s,%1s,%12s,%3d,%5d,%5d,%5d"
37,CaOH,40Ca-16O-1H,(40Ca)(16O)(1H),OYT6,5000,56.965331,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%43d","+/-,e/f,N,ElecState,L,v1,v2,l2,v3,Omega,Fi","%1s,%1s,%5d,%12s,%3d,%2d,%2d,%2d,%2d,%5d,%4s"
38,H2CO,1H2-12C-16O,(1H)2(12C)(16O),AYTY,3000,30.010565,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%44d","Grve,v1,v2,v3,v4,v5,v6,Ka,Kb","%3s,%2d,%2d,%2d,%2d,%2d,%2d,%2d,%2d"
